,playerid,injury_start_date,injury_end_date,days_injured
230,424825,2009-06-14T00:00:00,2009-11-09T00:00:00,148
231,116414,2009-06-14T00:00:00,2009-11-09T00:00:00,148
232,113898,2009-06-15T00:00:00,2009-11-06T00:00:00,144
233,150398,2009-06-16T00:00:00,2009-06-28T00:00:00,12
234,502381,2009-06-16T00:00:00,2009-07-06T00:00:00,20
235,452655,2009-06-17T00:00:00,2009-06-25T00:00:00,8
236,115399,2009-06-17T00:00:00,2009-06-30T00:00:00,13
237,407853,2009-06-17T00:00:00,2009-07-07T00:00:00,20
238,150221,2009-06-17T00:00:00,2009-11-16T00:00:00,152
239,425883,2009-06-18T00:00:00,2009-10-15T00:00:00,119
240,425606,2009-06-18T00:00:00,2009-07-09T00:00:00,21
241,116380,2009-06-18T00:00:00,2009-07-10T00:00:00,22
242,136880,2009-06-18T00:00:00,2009-06-29T00:00:00,11
243,275933,2009-06-18T00:00:00,2009-07-08T00:00:00,20
244,432934,2009-06-19T00:00:00,2009-10-28T00:00:00,131
245,114789,2009-06-19T00:00:00,2009-10-28T00:00:00,131
246,114260,2009-06-19T00:00:00,2009-11-01T00:00:00,135
247,460026,2009-06-19T00:00:00,2009-08-12T00:00:00,54
248,136460,2009-06-20T00:00:00,2009-11-09T00:00:00,142
249,346795,2009-06-20T00:00:00,2009-11-06T00:00:00,139
250,466918,2009-06-20T00:00:00,2009-07-16T00:00:00,26
251,425768,2009-06-21T00:00:00,2009-07-06T00:00:00,15
252,493137,2009-06-21T00:00:00,2009-09-15T00:00:00,86
253,429722,2009-06-22T00:00:00,2009-07-03T00:00:00,11
254,424925,2009-06-23T00:00:00,2009-07-17T00:00:00,24
255,433657,2009-06-23T00:00:00,2009-08-27T00:00:00,65
256,430965,2009-06-23T00:00:00,2009-07-28T00:00:00,35
257,446868,2009-06-23T00:00:00,2009-11-09T00:00:00,139
258,489189,2009-06-24T00:00:00,2009-11-05T00:00:00,134
259,434637,2009-06-24T00:00:00,2009-08-01T00:00:00,38
260,430831,2009-06-25T00:00:00,2009-07-30T00:00:00,35
261,407862,2009-06-25T00:00:00,2009-07-06T00:00:00,11
262,291565,2009-06-26T00:00:00,2009-09-05T00:00:00,71
263,150035,2009-06-26T00:00:00,2009-08-18T00:00:00,53
264,493157,2009-06-28T00:00:00,2009-11-06T00:00:00,131
265,425146,2009-06-28T00:00:00,2009-08-28T00:00:00,61
266,457448,2009-06-28T00:00:00,2009-11-13T00:00:00,138
267,425446,2009-06-29T00:00:00,2009-08-05T00:00:00,37
268,425867,2009-06-29T00:00:00,2009-11-05T00:00:00,129
269,455374,2009-06-30T00:00:00,2009-09-03T00:00:00,65
270,134181,2009-06-30T00:00:00,2009-08-04T00:00:00,35
271,136780,2009-06-30T00:00:00,2009-07-17T00:00:00,17
272,430637,2009-07-03T00:00:00,2009-07-23T00:00:00,20
273,462950,2009-07-03T00:00:00,2009-11-04T00:00:00,124
274,446341,2009-07-04T00:00:00,2009-07-29T00:00:00,25
275,458713,2009-07-04T00:00:00,2009-11-10T00:00:00,129
276,111072,2009-07-05T00:00:00,2009-07-28T00:00:00,23
277,425426,2009-07-05T00:00:00,2009-11-12T00:00:00,130
278,132980,2009-07-05T00:00:00,2009-11-05T00:00:00,123
279,456029,2009-07-06T00:00:00,2009-09-02T00:00:00,58
280,275930,2009-07-06T00:00:00,2009-07-28T00:00:00,22
281,444884,2009-07-06T00:00:00,2009-07-31T00:00:00,25
282,123041,2009-07-07T00:00:00,2009-07-21T00:00:00,14
283,133225,2009-07-07T00:00:00,2009-07-28T00:00:00,21
284,136660,2009-07-07T00:00:00,2009-07-18T00:00:00,11
285,430613,2009-07-08T00:00:00,2009-08-08T00:00:00,31
286,494686,2009-07-09T00:00:00,2009-11-12T00:00:00,126
287,116338,2009-07-10T00:00:00,2009-08-16T00:00:00,37
288,448200,2009-07-10T00:00:00,2009-08-14T00:00:00,35
289,115223,2009-07-10T00:00:00,2009-08-04T00:00:00,25
290,434567,2009-07-11T00:00:00,2009-08-07T00:00:00,27
291,113833,2009-07-11T00:00:00,2009-11-06T00:00:00,118
292,457803,2009-07-12T00:00:00,2009-09-14T00:00:00,64
293,118377,2009-07-15T00:00:00,2009-08-12T00:00:00,28
294,451491,2009-07-18T00:00:00,2009-11-06T00:00:00,111
295,219194,2009-07-18T00:00:00,2009-08-13T00:00:00,26
296,435179,2009-07-20T00:00:00,2009-11-08T00:00:00,111
297,452989,2009-07-20T00:00:00,2009-11-04T00:00:00,107
298,407911,2009-07-20T00:00:00,2009-08-02T00:00:00,13
299,113889,2009-07-20T00:00:00,2009-08-07T00:00:00,18
300,114739,2009-07-20T00:00:00,2009-08-07T00:00:00,18
301,150421,2009-07-20T00:00:00,2009-09-19T00:00:00,61
302,430588,2009-07-20T00:00:00,2009-11-12T00:00:00,115
303,123801,2009-07-21T00:00:00,2009-10-19T00:00:00,90
304,110383,2009-07-21T00:00:00,2009-08-07T00:00:00,17
305,519455,2009-07-23T00:00:00,2009-11-08T00:00:00,108
306,136268,2009-07-23T00:00:00,2009-08-19T00:00:00,27
307,204020,2009-07-23T00:00:00,2009-08-12T00:00:00,20
308,115229,2009-07-23T00:00:00,2009-09-01T00:00:00,40
309,240694,2009-07-23T00:00:00,2009-09-28T00:00:00,67
310,239795,2009-07-23T00:00:00,2009-08-10T00:00:00,18
311,466918,2009-07-24T00:00:00,2009-11-06T00:00:00,105
312,150404,2009-07-25T00:00:00,2009-08-17T00:00:00,23
313,424925,2009-07-25T00:00:00,2009-09-15T00:00:00,52
